# title | time | space | correctness invariant | edge cases
Missing Beacon Index|O(n)|O(1)|XOR cancels every identifier that appears in both the complete range and the registry. The sole uncancelled identifier is exactly the missing one.|Missing 0, missing n, empty registry.
Letter Inventory Match|O(n + m)|O(1), fixed alphabet|The frequency difference is zero for every letter exactly when both strings contain the same multiset of letters.|Unequal lengths, repeated letters, empty strings.
Stable Zero Shift|O(n)|O(1) auxiliary|After scanning each prefix, the first write positions contain precisely its nonzero values in their original order. Filling the suffix with zeros therefore preserves all required values and stability.|All zeros, no zeros, negative values.
Bracket Balance Check|O(n)|O(n)|The stack contains exactly the unmatched opening brackets in nesting order. A closing bracket must match its top; an empty final stack certifies that every opening was matched.|Empty input, premature closing, mismatched types, unmatched opening.
Longest Run of Ones|O(n)|O(1)|The running count is the length of the all-one suffix of the processed prefix. Taking its maximum considers every maximal run.|All zeros, all ones, a run ending at the final element.
Sorted Target Locator|O(log n)|O(1)|If the target exists it remains in the inclusive search interval. Sorted order justifies removing the half that cannot contain it; an empty interval proves absence.|Empty array, singleton, absent target, duplicate values; return the midpoint match deterministically.
Unique Window Length|O(n)|O(1), ASCII alphabet|The left boundary is beyond the last conflicting occurrence and never moves backward. Each window is the longest unique suffix ending at its right index, so their maximum is optimal.|Empty string, all equal characters, abba, spaces.
Product Without Position|O(n)|O(1) auxiliary, O(n) output|Before the reverse sweep result[i] contains the product strictly left of i. Multiplication by the product strictly right of i includes every other position exactly once.|One zero, two zeros, negative numbers. Use wider intermediate products if the full product can overflow.
Frequency Crown|O(n + d log d), d distinct values|O(d)|Counting assigns exact frequencies. Sorting by negative frequency and then value produces precisely the required total order, so its first k values are the answer.|Equal frequencies must favor the smaller value; k equals the distinct count.
Quiet Street Robber|O(n)|O(1)|An optimum for a prefix either excludes its last house, or includes it and excludes its neighbor. The maximum of these exhaustive choices establishes the recurrence by induction.|No houses, one house, all zeros.
Well-Formed Parenthesis Builder|O(n * Catalan(n))|O(n) auxiliary, O(n * Catalan(n)) output|Each prefix has no more closes than opens and at most n opens. Every valid string has a unique sequence of these choices; visiting open first gives the requested order.|n = 0 returns one empty string; n = 1; preserve construction order.
Prerequisite Route Check|O(V + E)|O(V + E)|Removing a zero-indegree node satisfies every prerequisite already processed. If nodes remain with no available node, following remaining incoming edges yields a cycle; a cycle cannot be fully removed.|No courses, disconnected courses, self-loop, repeated edges.
Daily Temperature Wait|O(n)|O(n)|Unresolved indices stay in decreasing temperature order. The first later warmer day pops an index, and no earlier day could have resolved it, so the assigned distance is minimal.|Equal temperatures are not warmer; decreasing input leaves zeros.
Circular Fuel Departure|O(n)|O(1)|When the candidate's tank first goes negative at i, every later start within that failed segment has no larger available balance at i. Discarding the entire segment is safe; nonnegative total ensures the surviving start completes the circuit.|Insufficient total fuel, one station, empty input, zero net balance.
Rainwater Basin|O(n)|O(1)|When the left maximum is smaller, the right side already guarantees a boundary at least that high. Water at the left position is therefore fixed by the left maximum; the symmetric argument handles the right.|Empty, monotone heights, equal walls. Accumulate in 64 bits; the legacy int return cannot represent totals above INT_MAX.
Histogram Skyline|O(n)|O(n)|Popping a bar discovers its first smaller right boundary; the new stack top gives its left boundary. This is its widest possible rectangle as the minimum bar, and some such bar limits every optimal rectangle.|Empty input, plateaus, increasing heights. Use 64-bit area arithmetic; the legacy int return bounds representable answers.
String Transformation Cost|O(nm)|O(m)|The last edit is insert, delete, or replace, unless matching last characters need no edit. These exhaust all alignments, and optimal prefix costs yield the minimum by induction.|Either string empty, equal strings, repeated characters.
Smallest Covering Window|O(n + m)|O(1), ASCII alphabet|Missing tracks required character copies absent from the window. Shrinking every valid window enumerates the shortest valid window for each right endpoint; the best of these is globally shortest.|Repeated target characters, impossible cover, empty target; retain first equal-length optimum.
Word Mutation Steps|O(26 * N * L^2)|O(NL)|BFS processes word paths in increasing length. Removing words on enqueue prevents duplicate exploration without losing a shorter path; the first discovered destination has minimum length.|Equal endpoints return 1; absent destination returns 0; unreachable dictionary.
Queen Board Counter|O(n!) upper bound|O(n)|A recursive level places exactly one queen in its row on an unused column and diagonals. Every nonattacking board determines one unique sequence of legal choices and is counted once.|n = 0 counts the empty board as 1; n = 2 or 3 yields zero.
Majority Signal|O(n)|O(1)|Cancelling two different values cannot eliminate a strict majority. The candidate left after all cancellations must therefore be the guaranteed majority.|Single value, changing candidates, negative majority; existence is guaranteed.
Prefix Balance Point|O(n)|O(1)|At index i, left is exactly the sum before i and total-left-nums[i] is exactly the sum after it. The first equality is the required first index.|Empty input, balanced endpoint, negatives; use 64-bit sums.
